init_error,snr_db,method,mc_idx,seed,mf_grid_points,mf_search_half_range,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.2,15.0,adjoint_slice,0,20,41,1.7,0.1289469450712204,0.1867486048738368,0.1867486048738368,0.9999999994645207,0.37890625
0.2,15.0,matched_filter,0,20,41,1.7,0.11012370139360428,0.1867486048738368,0.03392423861399358,5.504872384853368,0.99609375
0.2,15.0,proposed_no_update,0,20,41,1.7,0.12843425571918488,0.1867486048738368,0.1867486048738368,0.9999999994645207,0.37890625
0.2,15.0,proposed,0,20,41,1.7,0.10927735269069672,0.1867486048738368,0.020557851983369756,9.084052366779446,0.99609375
0.2,15.0,oracle_sync,0,20,41,1.7,0.10896199941635132,0.1867486048738368,0.0,1867486048.7383678,1.0
0.2,15.0,naive_slice,1,1020,41,1.7,0.49553632736206055,0.20633879286727197,0.20633879286727197,0.9999999995153601,0.40234375
0.2,15.0,adjoint_lmmse,1,1020,41,1.7,0.12273560464382172,0.20633879286727197,0.20633879286727197,0.9999999995153601,0.40234375
0.2,15.0,adjoint_slice,1,1020,41,1.7,0.12273560464382172,0.20633879286727197,0.20633879286727197,0.9999999995153601,0.40234375
0.2,15.0,matched_filter,1,1020,41,1.7,0.09506022930145264,0.20633879286727197,0.03459026785977577,5.965226783071429,0.98828125
0.2,15.0,proposed_no_update,1,1020,41,1.7,0.12351074814796448,0.20633879286727197,0.20633879286727197,0.9999999995153601,0.40234375
0.2,15.0,proposed,1,1020,41,1.7,0.09547729790210724,0.20633879286727197,0.020956662802804917,9.8459756605454,1.0
0.2,15.0,oracle_sync,1,1020,41,1.7,0.09523925930261612,0.20633879286727197,0.0,2063387928.6727197,1.0
0.2,15.0,naive_slice,2,2020,41,1.7,0.5012533068656921,0.2042126981452637,0.2042126981452637,0.9999999995103145,0.36328125
0.2,15.0,adjoint_lmmse,2,2020,41,1.7,0.13048502802848816,0.2042126981452637,0.2042126981452637,0.9999999995103145,0.36328125
0.2,15.0,adjoint_slice,2,2020,41,1.7,0.13048502802848816,0.2042126981452637,0.2042126981452637,0.9999999995103145,0.36328125
0.2,15.0,matched_filter,2,2020,41,1.7,0.1046040877699852,0.2042126981452637,0.03514616453654977,5.810383586859304,0.98828125
0.2,15.0,proposed_no_update,2,2020,41,1.7,0.12978516519069672,0.2042126981452637,0.2042126981452637,0.9999999995103145,0.36328125
0.2,15.0,proposed,2,2020,41,1.7,0.10364990681409836,0.2042126981452637,0.02373363781086956,8.604357195983768,0.98828125
0.2,15.0,oracle_sync,2,2020,41,1.7,0.10357870161533356,0.2042126981452637,0.0,2042126981.4526367,1.0
0.2,15.0,naive_slice,3,3020,41,1.7,0.5002848505973816,0.20420396434070617,0.20420396434070617,0.9999999995102935,0.33984375
0.2,15.0,adjoint_lmmse,3,3020,41,1.7,0.12602336704730988,0.20420396434070617,0.20420396434070617,0.9999999995102935,0.33984375
0.2,15.0,adjoint_slice,3,3020,41,1.7,0.12602336704730988,0.20420396434070617,0.20420396434070617,0.9999999995102935,0.33984375
0.2,15.0,matched_filter,3,3020,41,1.7,0.09995117783546448,0.20420396434070617,0.03603994831875065,5.666044855781872,0.97265625
0.2,15.0,proposed_no_update,3,3020,41,1.7,0.12639771401882172,0.20420396434070617,0.20420396434070617,0.9999999995102935,0.33984375
0.2,15.0,proposed,3,3020,41,1.7,0.10006511211395264,0.20420396434070617,0.024263285493063762,8.416171155281736,0.99609375
0.2,15.0,oracle_sync,3,3020,41,1.7,0.1000773161649704,0.20420396434070617,0.0,2042039643.4070616,1.0
0.2,15.0,naive_slice,4,4020,41,1.7,0.5100057125091553,0.18432656533762357,0.18432656533762357,0.9999999994574845,0.390625
0.2,15.0,adjoint_lmmse,4,4020,41,1.7,0.138641357421875,0.18432656533762357,0.18432656533762357,0.9999999994574845,0.390625
0.2,15.0,adjoint_slice,4,4020,41,1.7,0.138641357421875,0.18432656533762357,0.18432656533762357,0.9999999994574845,0.390625
0.2,15.0,matched_filter,4,4020,41,1.7,0.1199035719037056,0.18432656533762357,0.03460722940031814,5.326244487034972,0.99609375
0.2,15.0,proposed_no_update,4,4020,41,1.7,0.13698527216911316,0.18432656533762357,0.18432656533762357,0.9999999994574845,0.390625
0.2,15.0,proposed,4,4020,41,1.7,0.11782634258270264,0.18432656533762357,0.019993036904651852,9.219538046907813,1.0
0.2,15.0,oracle_sync,4,4020,41,1.7,0.1175944060087204,0.18432656533762357,0.0,1843265653.3762355,1.0
0.2,15.0,naive_slice,5,5020,41,1.7,0.4960978329181671,0.2070946035336146,0.2070946035336146,0.9999999995171288,0.359375
0.2,15.0,adjoint_lmmse,5,5020,41,1.7,0.12618204951286316,0.2070946035336146,0.2070946035336146,0.9999999995171288,0.359375
0.2,15.0,adjoint_slice,5,5020,41,1.7,0.12618204951286316,0.2070946035336146,0.2070946035336146,0.9999999995171288,0.359375
0.2,15.0,matched_filter,5,5020,41,1.7,0.09937337785959244,0.2070946035336146,0.03376942610496314,6.132606526289678,0.9921875
0.2,15.0,proposed_no_update,5,5020,41,1.7,0.1265157163143158,0.2070946035336146,0.2070946035336146,0.9999999995171288,0.359375
0.2,15.0,proposed,5,5020,41,1.7,0.09942016750574112,0.2070946035336146,0.02190130973274314,9.455809041338783,1.0
0.2,15.0,oracle_sync,5,5020,41,1.7,0.09924723953008652,0.2070946035336146,0.0,2070946035.336146,1.0
0.2,15.0,naive_slice,6,6020,41,1.7,0.5057617425918579,0.1865423922650566,0.1865423922650566,0.9999999994639288,0.4296875
0.2,15.0,adjoint_lmmse,6,6020,41,1.7,0.11790771782398224,0.1865423922650566,0.1865423922650566,0.9999999994639288,0.4296875
0.2,15.0,adjoint_slice,6,6020,41,1.7,0.11790771782398224,0.1865423922650566,0.1865423922650566,0.9999999994639288,0.4296875
0.2,15.0,matched_filter,6,6020,41,1.7,0.09677938371896744,0.1865423922650566,0.035340510859514,5.278429405810207,0.98828125
0.2,15.0,proposed_no_update,6,6020,41,1.7,0.11903483420610428,0.1865423922650566,0.1865423922650566,0.9999999994639288,0.4296875
0.2,15.0,proposed,6,6020,41,1.7,0.09773356467485428,0.1865423922650566,0.021675481875352412,8.606147373201544,0.99609375
0.2,15.0,oracle_sync,6,6020,41,1.7,0.09765829145908356,0.1865423922650566,0.0,1865423922.6505659,1.0
0.2,15.0,naive_slice,7,7020,41,1.7,0.4963358938694,0.1972431040489433,0.1972431040489433,0.9999999994930114,0.38671875
0.2,15.0,adjoint_lmmse,7,7020,41,1.7,0.12209270149469376,0.1972431040489433,0.1972431040489433,0.9999999994930114,0.38671875
0.2,15.0,adjoint_slice,7,7020,41,1.7,0.12209270149469376,0.1972431040489433,0.1972431040489433,0.9999999994930114,0.38671875
0.2,15.0,matched_filter,7,7020,41,1.7,0.09656169265508652,0.1972431040489433,0.031923962715803646,6.178528185457603,0.99609375
0.2,15.0,proposed_no_update,7,7020,41,1.7,0.12167765945196152,0.1972431040489433,0.1972431040489433,0.9999999994930114,0.38671875
0.2,15.0,proposed,7,7020,41,1.7,0.09562988579273224,0.1972431040489433,0.021346926050259226,9.239883187891577,0.99609375
0.2,15.0,oracle_sync,7,7020,41,1.7,0.09552612900733948,0.1972431040489433,0.0,1972431040.4894328,1.0
0.2,15.0,naive_slice,8,8020,41,1.7,0.49717408418655396,0.18783167879473858,0.18783167879473858,0.9999999994676084,0.41015625
0.2,15.0,adjoint_lmmse,8,8020,41,1.7,0.11861573159694672,0.18783167879473858,0.18783167879473858,0.9999999994676084,0.41015625
0.2,15.0,adjoint_slice,8,8020,41,1.7,0.11861573159694672,0.18783167879473858,0.18783167879473858,0.9999999994676084,0.41015625
0.2,15.0,matched_filter,8,8020,41,1.7,0.09741821885108948,0.18783167879473858,0.03365378698210624,5.5812939666041,0.99609375
0.2,15.0,proposed_no_update,8,8020,41,1.7,0.11908163130283356,0.18783167879473858,0.18783167879473858,0.9999999994676084,0.41015625
0.2,15.0,proposed,8,8020,41,1.7,0.09745483845472336,0.18783167879473858,0.022447095661246655,8.36774969878361,0.99609375
0.2,15.0,oracle_sync,8,8020,41,1.7,0.09740397334098816,0.18783167879473858,0.0,1878316787.9473858,1.0
0.2,15.0,naive_slice,9,9020,41,1.7,0.518768310546875,0.2035750924415959,0.2035750924415959,0.9999999995087807,0.35546875
0.2,15.0,adjoint_lmmse,9,9020,41,1.7,0.13357748091220856,0.2035750924415959,0.2035750924415959,0.9999999995087807,0.35546875
0.2,15.0,adjoint_slice,9,9020,41,1.7,0.13357748091220856,0.2035750924415959,0.2035750924415959,0.9999999995087807,0.35546875
0.2,15.0,matched_filter,9,9020,41,1.7,0.11020101606845856,0.2035750924415959,0.03327407085285884,6.118130021722068,0.9921875
