snr_db,method,mc_idx,seed,init_error,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
10,adjoint_slice,6,7100,0.3,0.15663249790668488,0.286661995697063,0.286661995697063,0.999999999651157,0.23828125
10,proposed_no_update,6,7100,0.3,0.15593262016773224,0.286661995697063,0.286661995697063,0.999999999651157,0.23828125
10,proposed,6,7100,0.3,0.10199178755283356,0.286661995697063,0.026730038790791857,10.724338893341987,0.9921875
10,oracle_sync,6,7100,0.3,0.10167236626148224,0.286661995697063,0.0,2866619956.97063,1.0
10,matched_filter,7,8100,0.3,0.0910542830824852,0.3106907542763206,0.0348477768276122,8.915654933217267,0.9921875
10,adjoint_slice,7,8100,0.3,0.15464071929454803,0.3106907542763206,0.3106907542763206,0.9999999996781365,0.21484375
10,proposed_no_update,7,8100,0.3,0.15461020171642303,0.3106907542763206,0.3106907542763206,0.9999999996781365,0.21484375
10,proposed,7,8100,0.3,0.09280192852020264,0.3106907542763206,0.07551965039333725,4.114038561443441,0.9765625
10,oracle_sync,7,8100,0.3,0.08977864682674408,0.3106907542763206,0.0,3106907542.763206,1.0
10,matched_filter,8,9100,0.3,0.09568888694047928,0.3069302431357254,0.03489545566885441,8.7957081050557,0.99609375
10,adjoint_slice,8,9100,0.3,0.16176961362361908,0.3069302431357254,0.3069302431357254,0.9999999996741931,0.265625
10,proposed_no_update,8,9100,0.3,0.16228842735290527,0.3069302431357254,0.3069302431357254,0.9999999996741931,0.265625
10,proposed,8,9100,0.3,0.09605509787797928,0.3069302431357254,0.030265507228107908,10.141255516000419,0.98828125
10,oracle_sync,8,9100,0.3,0.09596354514360428,0.3069302431357254,0.0,3069302431.357254,1.0
10,matched_filter,9,10100,0.3,0.10277099907398224,0.309342267097845,0.03668975014652846,8.431299341622381,0.98828125
10,adjoint_slice,9,10100,0.3,0.16778768599033356,0.309342267097845,0.309342267097845,0.9999999996767335,0.24609375
10,proposed_no_update,9,10100,0.3,0.16915690898895264,0.309342267097845,0.309342267097845,0.9999999996767335,0.24609375
10,proposed,9,10100,0.3,0.10410156846046448,0.309342267097845,0.030368940588188606,10.18613952570817,0.98828125
10,oracle_sync,9,10100,0.3,0.10357056558132172,0.309342267097845,0.0,3093422670.97845,1.0
15,matched_filter,0,1150,0.3,0.09235026687383652,0.317959835509285,0.03438375545404818,9.247385295346247,0.984375
15,adjoint_slice,0,1150,0.3,0.16071778535842896,0.317959835509285,0.317959835509285,0.9999999996854948,0.2578125
15,proposed_no_update,0,1150,0.3,0.16180624067783356,0.317959835509285,0.317959835509285,0.9999999996854948,0.2578125
15,proposed,0,1150,0.3,0.09590454399585724,0.317959835509285,0.09116779042046919,3.4876334470110475,0.984375
15,oracle_sync,0,1150,0.3,0.09304606914520264,0.317959835509285,0.0,3179598355.09285,1.0
15,matched_filter,1,2150,0.3,0.127960205078125,0.3009111154242014,0.03460572164014498,8.695415101691815,0.98828125
15,adjoint_slice,1,2150,0.3,0.1813151091337204,0.3009111154242014,0.3009111154242014,0.9999999996676759,0.3046875
15,proposed_no_update,1,2150,0.3,0.18313193321228027,0.3009111154242014,0.3009111154242014,0.9999999996676759,0.3046875
15,proposed,1,2150,0.3,0.13048096001148224,0.3009111154242014,0.03881215645021718,7.753011998569751,0.9765625
15,oracle_sync,1,2150,0.3,0.12988892197608948,0.3009111154242014,0.0,3009111154.242014,1.0
15,matched_filter,2,3150,0.3,0.12036743760108948,0.30530595045099285,0.03347578277565344,9.120203449313157,0.99609375
15,adjoint_slice,2,3150,0.3,0.17463786900043488,0.30530595045099285,0.30530595045099285,0.9999999996724597,0.2578125
15,proposed_no_update,2,3150,0.3,0.17348837852478027,0.30530595045099285,0.30530595045099285,0.9999999996724597,0.2578125
15,proposed,2,3150,0.3,0.12069296091794968,0.30530595045099285,0.056405532521592625,5.412695107396584,0.98046875
15,oracle_sync,2,3150,0.3,0.11830241233110428,0.30530595045099285,0.0,3053059504.509928,1.0
15,matched_filter,3,4150,0.3,0.11686808615922928,0.2909270312328301,0.03219861483486936,9.035389622234087,0.99609375
15,adjoint_slice,3,4150,0.3,0.17155355215072632,0.2909270312328301,0.2909270312328301,0.9999999996562712,0.296875
15,proposed_no_update,3,4150,0.3,0.1728515774011612,0.2909270312328301,0.2909270312328301,0.9999999996562712,0.296875
15,proposed,3,4150,0.3,0.11843262612819672,0.2909270312328301,0.02608584329981209,11.152678745089982,0.984375
15,oracle_sync,3,4150,0.3,0.11819865554571152,0.2909270312328301,0.0,2909270312.328301,1.0
15,matched_filter,4,5150,0.3,0.10482585430145264,0.2940678874512671,0.03550367082857443,8.282745974151995,0.9921875
15,adjoint_slice,4,5150,0.3,0.16075846552848816,0.2940678874512671,0.2940678874512671,0.9999999996599425,0.2421875
15,proposed_no_update,4,5150,0.3,0.1609700620174408,0.2940678874512671,0.2940678874512671,0.9999999996599425,0.2421875
15,proposed,4,5150,0.3,0.10496826469898224,0.2940678874512671,0.0271474853961229,10.832232970278767,0.99609375
15,oracle_sync,4,5150,0.3,0.1045634001493454,0.2940678874512671,0.0,2940678874.512671,1.0
15,matched_filter,5,6150,0.3,0.11130575090646744,0.3033371319786166,0.03269069741400358,9.279004580696919,0.9921875
15,adjoint_slice,5,6150,0.3,0.16892090439796448,0.3033371319786166,0.3033371319786166,0.9999999996703338,0.265625
15,proposed_no_update,5,6150,0.3,0.16832073032855988,0.3033371319786166,0.3033371319786166,0.9999999996703338,0.265625
15,proposed,5,6150,0.3,0.1105550155043602,0.3033371319786166,0.031161979343620496,9.734206151038201,0.96875
15,oracle_sync,5,6150,0.3,0.10979004204273224,0.3033371319786166,0.0,3033371319.786166,1.0
15,matched_filter,6,7150,0.3,0.10602417588233948,0.311588908054596,0.03055953428663445,10.196127470805733,0.9921875
15,adjoint_slice,6,7150,0.3,0.17045289278030396,0.311588908054596,0.311588908054596,0.9999999996790643,0.2578125
15,proposed_no_update,6,7150,0.3,0.16989339888095856,0.311588908054596,0.311588908054596,0.9999999996790643,0.2578125
15,proposed,6,7150,0.3,0.1049804762005806,0.311588908054596,0.0261547663595313,11.913274337077745,0.98828125
15,oracle_sync,6,7150,0.3,0.10439249873161316,0.311588908054596,0.0,3115889080.54596,1.0
15,matched_filter,7,8150,0.3,0.10617269575595856,0.3115666707451389,0.034685868228723576,8.982524750205796,0.984375
15,adjoint_slice,7,8150,0.3,0.16616007685661316,0.3115666707451389,0.3115666707451389,0.9999999996790414,0.2109375
15,proposed_no_update,7,8150,0.3,0.16712647676467896,0.3115666707451389,0.3115666707451389,0.9999999996790414,0.2109375
15,proposed,7,8150,0.3,0.10686442255973816,0.3115666707451389,0.027703322294149315,11.246545317284358,0.99609375
15,oracle_sync,7,8150,0.3,0.10677286982536316,0.3115666707451389,0.0,3115666707.451389,1.0
15,matched_filter,8,9150,0.3,0.1088053435087204,0.3076419098766513,0.034304595093453634,8.967950449255229,0.9921875
15,adjoint_slice,8,9150,0.3,0.16792400181293488,0.3076419098766513,0.3076419098766513,0.9999999996749467,0.22265625
15,proposed_no_update,8,9150,0.3,0.16935425996780396,0.3076419098766513,0.3076419098766513,0.9999999996749467,0.22265625
15,proposed,8,9150,0.3,0.11190389841794968,0.3076419098766513,0.04629903902976558,6.644671588418966,0.984375
15,oracle_sync,8,9150,0.3,0.11026611924171448,0.3076419098766513,0.0,3076419098.766513,1.0
15,matched_filter,9,10150,0.3,0.10997314751148224,0.2891499654008331,0.034853473148205805,8.296159276341792,0.9921875
